ID,Product Name,Units Per Case
4e700448-fa3f-4030-b4bd-2fc379803c31,Blem -  Unruly OG Preroll 3.75g 5pk,25
a07bdf3f-d839-48a1-98a5-865c74482782,Blem - Bax Juice 3.5g,32
0ed0bc74-bdb3-41c9-a528-fd8852ad0a8a,Block Party - Blue Dream 28g,12
4b9fd806-237c-4dcc-8fe6-5fcff793f086,West Coast Cure - Sunset Sherbet 3.5g,16
d0bdd4d0-6126-4b9d-bd7d-92cae2aa7201,Jeeter - Cherry Blossom Infused Preroll 1g,25
8ce8ab24-c433-4d93-854c-46f9e982e7b1,Pretty Dope - Pineapple Whip Terpene-Infused Preroll 1g,25
eb243c83-6107-40cc-b1c7-524db078867c,Rove - Bubble Burzt Premier Cured Resin Vape 1g,10
3b11638c-326a-450c-acb4-a2c2ff448d92,Rove - Faceoff OG Premier Live Resin Vape 1g,10
2c8d60e6-029b-44d4-b861-65d839cb1a8f,Stiiizy - Black - Strawberry Milk 3.5g,20
f65c2c64-e931-41dd-80cb-d75bb7655d0b,Jeeter -  Fire OG Infused Preroll 1g,25
113754dc-c85d-46e4-90a0-6b9fac02183f,Vuze - Strawberry Guava OG Live Resin Vape 1g,10
90a97ab9-a079-403b-a6fd-c65761bd7d85,Vuze - Shady Apples Live Resin Vape 1g,10
45d357c2-db82-4e5b-ab5b-6c61af6d03eb,Traditional - Boba Badder 1g,10
c144f08f-dbbc-4082-a747-84ea339a1872,Traditional - Matcha Badder 1g,10
bae2ac74-8c18-46f9-9c8a-dd7ad13e1355,Astronauts -  Space Jawcrushers 3.5g,32
9f3774bd-1aca-4e2d-bd9d-d1def5a323ad,Jeeter - Island Papaya Infused Baby Preroll 5pk,25
d0689250-92ad-4585-911c-b560b1c4739f,Jeeter - Grape Gas Baby Cannons Infused Preroll 1.3g,16
53b13f45-2557-45fb-a584-6500b9af3312,West Coast Cure - Sample - Watermelon Zkittlez Jefferey Infused 5pk 3.25g,
19751ed6-998b-4a59-b0c4-739d88d2705d,West Coast Cure - Sample - Garlic Juice Bhomb Rosin Dino Eggs 1g,10
5c9d5fff-90af-46c4-99df-a644a29a5414,Flavorade - Sherbet Cream Pie Cured Resin Vape 1g,10
afc06e5b-4397-40cd-bb11-e7d576e21487,West Coast Cure - Sample - All Day Pack Preroll 3pk 3g,
cfc91780-f9f1-4699-b8b9-f06da1c84bcc,West Coast Cure - Rainbow Gelato Live Resin Disposable 1g,10
