Delivery Date,Delivery Date (UTC),Order Number,Product,Product Id,Quantity,Customer,Customer Id,Metrc Manifest Number,Invoice Numbers
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008595,Jeeter - Hawaiian Juice Liquid Diamond Vape 1g,65cbc710-7b5e-447f-882b-3271ac0e3824,50,Haven Maywood,626432,8770882,INV-0008317
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008595,Jeeter - Apples and Bananas Liquid Diamonds Vape 1g,c8ebe0a8-764e-4589-81cd-c012fd2a3e80,50,Haven Maywood,626432,8770882,INV-0008317
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008595,Jeeter - Blueberry Kush Liquid Diamond Vape 1g,83395af5-b111-4eed-81da-1d2a332ed82b,50,Haven Maywood,626432,8770882,INV-0008317
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008592,Plug Play - Sample - Exotics Watermelon Sorbet 1g,be0d7538-8ac5-43a7-a539-5d09d52282e0,16,Haven Paramount,626384,8770864,INV-0008303
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008586,Plug Play - Sample - Exotics Watermelon Sorbet 1g,be0d7538-8ac5-43a7-a539-5d09d52282e0,15,Haven Maywood,626432,8770903,INV-0008306
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008584,Haven - Cool Mom Mother's Day Card,37c04ef6-09c7-4e7f-987e-0ccc4b803ed2,750,Haven Paramount,626384,,INV-0008302
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Stiiizy - Strawberry Cough Pod 1g,018e2deb-bcc1-489c-8029-83d7e069604f,15,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Tropical Lemonade Live Resin Disposable 1g,e5eea34a-2ef5-4ff7-9885-4ea91d244dfb,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Turn - The Mandarin Turn Up Disposable 1g,6c1d94d0-5a5e-454d-a732-06685ac010a2,30,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Uncle Arnie's - Watermelon Wave 10mg,20e7ce60-9ccb-4214-a3bb-65c353e85aa0,24,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,St. Ides - Wild Raspberry High Tea 100mg,a3ed93d0-84ec-4b4e-bb1b-a256473e979b,72,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Stiiizy - Strawnana Pod 1g,70f5dd36-1cb7-4edb-892a-b31b38bdc80a,15,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Gelato 41 Live Resin Diamonds 1g,713ae059-cd9b-4a59-83ed-994c67c10648,30,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Stiiizy - Pink Acai Pod .5g,9ada3784-ac12-427c-ad57-afb758fd5ade,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Rainbow Sherbet Mini Preroll 6pk 2.1g,2b9ef98a-47ab-4b6c-a267-66b1e6060e1d,30,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Stiiizy - Birthday Cake Pod 1g,bc7a63ec-b20d-411c-a071-a6ec6ba76af9,20,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Skywalker Vape 1g,3e5b25a2-96c0-4b43-8cd8-a274d2c7f0cb,70,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Rove - Strawberry Cough RTU Reload Live Resin Diamonds Pod 1g,af752e62-912e-4da9-93bb-15562d07bb0d,30,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Orange Creamsicle Vape 1g,89386d5b-0019-4137-8401-b82e8b0b3877,30,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Traditional - OG 3.5g,387e161b-9095-401a-a0e2-d104f8a530f9,32,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Stiiizy - Diamond OG Live Resin Diamonds 1g,7b3ec43e-f039-4ce0-949d-d97d53da6986,20,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Skywalker OG Preroll 1g,4c70566c-c186-40aa-b056-220ebd901518,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Skywalker OG Preroll 1g,4c70566c-c186-40aa-b056-220ebd901518,30,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Tequila Sunrise Smalls 7g,477857fe-66e8-4c72-ae1d-9d52e34c34ed,16,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Side Hustle - Blue Dream Vape 1g,815306dc-ca3d-45d1-9f1c-b99d68be9a11,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Garlic Juice Headstash 3.5g,b41e464d-9a92-43ca-88d7-56c7dbab8729,32,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,WVY - Sour OG Budder 1g,15e4c46e-edaa-4816-80be-87ed92beb2bd,20,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Peach Rings Live Resin Disposable 1g,158217fd-ed73-4c20-b523-eca0c528fc8a,20,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Peach Z Premium Bag 3.5g,5813680c-dd51-4ea8-90a6-8b0ceb49a569,16,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,St. Ides - High Punch Drink High Tea 100mg,3fbf7bb8-3ceb-4bbd-86df-798539c97bae,24,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Stiiizy - White Fire Live Resin Diamonds 1g,38b3f888-f5e7-44b7-ab2e-5a5579fe5f61,50,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Strawberry Banana OG Preroll 1g,874f6d58-bd9b-4d0b-b352-b1e71d2412f7,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Blackberry Kush Vape 1g,0b998399-b1ef-4f5e-b76b-4e019e048a0e,40,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Tangie Mini Preroll 6pk 2.1g,a7a31cbe-15a0-4caa-91f2-fef83777cbd0,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Turn - Peaches N Cream Turn Down Disposable 1g,9c1ae996-8777-49ad-a75e-5f817a37701d,60,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Fruit Jellys Live Resin Vape 1g,06c906e8-6df9-4fa6-bb87-fc6e19d5d782,30,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Stiiizy - White Raspberry Pod 1g,eeecd4bf-7427-4c5c-bcec-487c46b343a1,20,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Tangie Preroll 1g,a9832e25-ccb9-4cd5-8a4d-837e9ea14d18,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Vuze - Donny Banana Live Resin Vape 1g,2813bc0f-4e32-4dd7-a193-309c89131d7a,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Blue Dream Jefferey Infused Preroll 1.2g,8589a0bf-6ecc-41a8-a617-3b9bc3a20752,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Vuze - Afghan Princess Live Resin Vape 1g,336bc5ef-9714-42cb-b79e-51526eb73cc4,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Stiiizy - Do Si Dos Pod 1g,7353625a-3258-46b4-af6d-550d80829b52,15,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Side Hustle - Pineapple Express Vape 1g,6fed91b2-0801-4d28-b284-cddec52038a5,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast cure - Dosidos Live Resin Sugar 1g,12958160-8537-4065-b9de-61dd82888da9,10,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Pink Cookies Live Resin Sugar 1g,283d77e8-1d1e-4494-9168-1507b79b8b61,30,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Traditional - Mango Sticky Rice 3.5g,c0823ee7-2a52-4c49-9c3d-e969d570fcb1,32,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,West Coast Cure - Sativa Mix Preroll 6pk 2.1g,1570acf8-cef5-4b0f-9969-ce96a0f8111e,20,Haven Maywood,626432,8770889,INV-0008300
2025-04-25 17:00:00,2025-04-26 00:00:00.000000Z,SO-0008582,Stiiizy - Hardcore Pod 1g,8ae8da2e-fb78-4f8c-8901-6708fa271740,15,Haven Maywood,626432,8770889,INV-0008300
