Product Name,Purchase Order Date,Purchase Order Number,Purchase Quantity
Crave - Peanut Buttercup Chocolate 100mg,2025-03-25 9:10:44,PO-0001465,110
Pretty Dope - 24k Gold Vape 1g,2025-01-06 11:25:07,PO-0001191,100
Pretty Dope - 24k Gold Vape 1g,2025-03-03 15:05:57,PO-0001388,600
Papa & Barkley - Releaf Transdermal Patch THC Rich 1:3 30mg,2025-01-10 13:56:58,PO-0001210,36
Papa & Barkley - Releaf Transdermal Patch THC Rich 1:3 30mg,2025-04-10 15:47:56,PO-0001533,40
Pretty Dope - 24k Gold Vape 1g,2025-01-20 15:12:11,PO-0001241,690
Papa & Barkley - Releaf Transdermal Patch THC Rich 1:3 30mg,2025-03-05 14:15:59,PO-0001398,30
Papa & Barkley - Releaf Transdermal Patch THC Rich 1:3 30mg,2025-01-30 14:30:40,PO-0001274,40
Papa & Barkley - Releaf Transdermal Patch THC Rich 1:3 30mg,2025-03-28 15:31:04,PO-0001479,60
Pretty Dope - 24k Gold Vape 1g,2025-02-04 14:57:12,PO-0001287,250
Pretty Dope - 24k Gold Vape 1g,2025-03-25 9:10:44,PO-0001465,100
Papa & Barkley - Releaf Transdermal Patch THC Rich 1:3 30mg,2025-01-21 11:38:32,PO-0001243,40
St. Ide's - Energy Blast 100mg,2025-03-10 10:46:40,PO-0001404,270
St. Ide's - Energy Blast 100mg,2025-02-06 15:50:07,PO-0001293,240
Jeeter -  Honey Dew Infused Preroll 1g,2025-02-13 8:35:19,PO-0001329,200
Side Hustle - Tropicana Cherry Shake 28g,2025-02-17 13:26:44,PO-0001344,162
Side Hustle - Tropicana Cherry Shake 28g,2025-02-04 14:57:12,PO-0001287,250
St. Ide's - Energy Blast 100mg,2025-03-31 13:28:37,PO-0001483,240
Jeeter - Island Papaya XL Infused Preroll 2g,2025-03-25 14:28:17,PO-0001469,90
St. Ide's - Energy Blast 100mg,2025-04-09 16:51:24,PO-0001530,240
Jeeter - Island Papaya XL Infused Preroll 2g,2025-04-25 9:03:42,PO-0001578,160
St. Ide's - Energy Blast 100mg,2025-04-23 10:06:13,PO-0001568,144
St. Ide's - Energy Blast 100mg,2025-03-25 12:29:28,PO-0001467,420
St. Ide's - Energy Blast 100mg,2025-02-27 15:01:01,PO-0001382,300
Vuze - Jungle Fruit Vape 1g,2025-03-31 16:17:12,PO-0001489,200
